date,open,high,low,close,volume,cnt_ai,cnt_war,avg_tone,return,log_return
2021-02-10,38.15,38.24,35.0,35.7,45177200,6.0,383926.0,-1.5336492262756278,-0.06471050563269576,-0.06689917797154532
2021-02-11,35.79,35.98,32.61,33.11,52094900,10.0,367957.0,-1.5702635923597787,-0.07254901960784321,-0.07531533722643857
2021-02-12,33.36,33.65,31.34,31.91,60925600,8.0,338598.0,-1.6034222569383996,-0.036242826940501294,-0.03691591126900251
2021-02-16,30.02,30.44,27.3,27.84,180294300,4.0,366144.0,-1.5801783278158088,-0.12754622375430902,-0.1364456048239333
2021-02-17,27.99,29.73,27.0,27.08,151007000,7.0,367854.0,-1.5389594229744217,-0.027298850574712707,-0.0276783874221449
2021-02-18,24.99,26.31,24.5,25.17,313175100,6.0,392727.0,-1.5213293888965658,-0.07053175775480047,-0.07314263889684947
2021-02-19,27.02,29.96,26.9,29.0,320063700,13.0,404572.0,-1.4356503722464204,0.15216527612236774,0.14164302083924962
2021-02-22,29.96,30.19,27.536,28.0,183049500,4.0,345357.0,-1.4903492782254677,-0.03448275862068961,-0.03509131981127034
2021-02-23,25.96,27.46,23.9,26.75,145289400,12.0,433981.0,-1.5854543479351697,-0.044642857142857095,-0.04567003683318838
2021-02-24,26.71,27.23,25.75,26.39,90095700,13.0,418165.0,-1.5014879194442354,-0.013457943925233584,-0.013549322826782895
2021-02-25,25.82,26.44,23.15,23.96,161776400,14.0,405072.0,-1.3482385162043462,-0.09208033345964384,-0.09659937726798384
2021-02-26,24.2,24.5,22.7,23.9,119588600,8.0,428502.0,-1.3473445579965306,-0.0025041736227046085,-0.0025073143097835704
2021-03-01,25.19,25.9,24.62,24.81,85059900,40.0,373549.0,-1.2681114859617562,0.038075313807531375,0.03736833876624468
2021-03-02,25.0,25.59,24.26,24.48,73997000,26.0,396997.0,-1.4710329119025785,-0.013301088270858408,-0.013390340059584283
2021-03-03,24.99,25.168,23.43,23.59,79046200,16.0,410150.0,-1.4757591095149645,-0.03635620915032678,-0.03703356422454185
2021-03-04,24.85,25.56,23.05,24.73,161611200,6.0,411087.0,-1.43613227114972,0.04832556167867752,0.04719418811374121
2021-03-05,24.36,24.68,20.18,23.95,173468600,7.0,402241.0,-1.296932114651262,-0.031540638900121376,-0.03204875767640081
2021-03-08,23.77,24.58,22.4,22.52,94432800,12.0,404955.0,-1.2005277646016943,-0.05970772442588723,-0.06156452058543449
2021-03-09,23.38,24.74,23.1,24.26,99586500,10.0,401655.0,-1.3200789201423273,0.07726465364120783,0.07442510024441473
2021-03-10,25.03,26.24,24.27,24.75,103212800,28.0,409323.0,-1.3279877909780375,0.020197856553998195,0.019996585498795127
2021-03-11,25.95,26.84,25.58,26.73,84788700,16.0,390588.0,-1.3357045297229946,0.08000000000000007,0.07696104113612812
2021-03-12,25.74,26.92,25.18,26.92,58721900,7.0,381167.0,-1.3947241920458715,0.007108118219229409,0.007082974625699734
2021-03-15,27.35,27.47,26.31,26.79,56101500,9.0,384466.0,-1.3921708982774488,-0.00482912332838048,-0.00484082122000995
2021-03-16,26.75,27.1,25.23,25.61,73615100,6.0,406253.0,-1.3707720239414487,-0.04404628592758486,-0.04504578334508347
2021-03-17,24.52,25.73,24.3,25.21,77081700,6.0,398513.0,-1.544852819327445,-0.015618898867629794,-0.015742159011605583
2021-03-18,24.73,25.18,23.78,23.98,57141400,32.0,421556.0,-1.596204624922691,-0.04879016263387548,-0.05002059160046013
2021-03-19,24.01,24.57,23.39,24.32,57915900,11.0,405439.0,-1.5251803558751111,0.014178482068390341,0.014078907498598081
2021-03-22,24.89,24.92,23.86,24.22,46208100,56.0,373070.0,-1.5738871573824085,-0.004111842105263164,-0.004120318973019899
2021-03-23,24.0,24.105,23.1,23.26,50169700,40.0,427567.0,-1.59476794296283,-0.03963666391412046,-0.04044359103442785
2021-03-24,23.3,23.485,21.75,21.88,69271900,14.0,426474.0,-1.5515016386000595,-0.05932932072227015,-0.06116216953673792
2021-03-25,21.2,22.8,21.05,22.58,74592600,21.0,413638.0,-1.398221522290244,0.03199268738574035,0.031491581167735205
2021-03-26,22.63,23.05,21.76,22.58,57916400,14.0,378603.0,-1.5231098950268769,0.0,0.0
2021-03-29,22.48,22.5,21.39,21.73,57647400,29.0,355389.0,-1.597094435113665,-0.03764393268379085,-0.038370764453177664
2021-03-30,21.36,22.09,20.86,22.04,52039700,8.0,411031.0,-1.461599345022336,0.014265991716520876,0.014165190016375728
2021-03-31,22.5,23.85,22.38,23.29,61458500,14.0,447887.0,-1.4415089151089648,0.05671506352087108,0.055165099611535595
2021-04-01,23.95,23.95,22.73,23.07,51788800,16.0,416890.0,-1.3746475806394538,-0.00944611421210817,-0.009491011710587305
2021-04-05,23.78,24.45,23.34,23.44,65374300,9.0,354143.0,-1.6997844131930455,0.01603814477676635,0.015910892523149922
2021-04-06,23.55,23.61,22.83,23.27,41933500,23.0,403588.0,-1.4183568393190011,-0.007252559726962482,-0.007278987394611747
2021-04-07,23.0,23.55,22.81,22.9,32766200,28.0,421157.0,-1.4340182266922292,-0.015900300816501955,-0.016028066754006254
2021-04-08,23.2,23.6,22.74,23.41,35905500,19.0,432573.0,-1.503214537523102,0.022270742358078577,0.022026370942625384
